classification_id,medical_id,classification_level,classification_name,parent_id,publication_classification_id,regdate,lastupdate
1,1,1,超音波手術器,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
2,1,1,手術台,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
3,1,1,超音波画像診断装置,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
4,1,1,電気手術器,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
5,1,1,血液凝固計,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
6,1,1,電動式骨手術装置,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
7,1,1,生体情報モニター,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
8,1,1,陰圧創傷治療システム,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
9,1,1,人工呼吸器,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
10,1,1,血液,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
11,1,1,電動手術装置,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
12,1,1,医療用点検機器,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
13,1,1,光線治療器,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
14,1,1,シリンジポンプ,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
15,1,1,内臓機能検査装置,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
16,1,1,生理機能,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
17,1,1,検眼用器具,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
18,1,1,自動血圧計,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
19,1,1,ＤＶＴ予防ポンプ,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
20,1,1,血液検査用器具,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
21,1,1,光源装置,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
22,1,1,医療用鏡,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
23,1,1,内視鏡ユニット,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
24,1,1,医療用ガス器具,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
25,1,1,医薬品注入器,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
26,1,1,医療用エックス線装置及びエックス線管,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
27,1,1,心拍出量計,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
28,1,1,一般,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
29,1,1,恒温槽,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
30,1,1,レーザー,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
31,1,1,ポイントセッターユニット,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
32,1,1,特殊視力検査装置,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
33,1,1,造影剤注入装置,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
34,1,1,遠心ポンプ,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
35,1,1,緊急,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
36,1,1,術野カメラ,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
37,1,1,医療用ミクロトーム,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
38,1,1,血流計,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
39,1,1,カメラアーム,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
40,1,1,その他の機器,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
41,1,1,遺伝子,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
42,1,1,体温調節装置,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
43,1,1,輸液ポンプ,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
44,1,1,電気メス,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
45,1,1,中央検査,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
46,1,1,人工心肺用温度コントロールユニット,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
47,1,1,医療用吸引器,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
48,1,1,血液ガス分析装置,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
49,1,1,知覚・運動機能検査機器,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
50,1,1,血小板凝集測定器,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
51,1,1,１２誘導心電計,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
52,1,1,超音波破砕装置,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
53,1,1,内蔵機能検査用器具,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
54,1,1,組織破砕装置,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
55,1,1,無影灯,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
56,1,1,採血又は輸血用器具,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
57,1,1,吸引装置,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
58,1,1,血液・輸液ウォーミング装置,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
59,1,1,理学診療用器具,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
60,1,1,モニタ,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
61,1,1,眼底検査器,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
62,1,1,Ｏ２湿潤器,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
63,1,1,X線平面検出器出力読取式デジタルラジオグラフ,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
64,1,1,移動型Ｘ線ＴＶ装置,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
65,1,1,患者監視装置,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
66,1,1,呼吸補助器,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
67,1,1,血圧脈波検査装置,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
68,1,1,滅菌,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
69,1,1,麻酔器,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
70,1,1,医療用のこぎり,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
71,1,1,治療ユニット,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
72,1,1,除細動器,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
73,1,1,放射性物質診療用器具,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
74,1,1,生化免疫,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
75,1,1,光源装置付吸引洗浄装置,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
76,1,1,乾燥機,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
77,1,1,赤外線観察システム,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
78,1,1,手術顕微鏡,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
79,1,1,水圧式ナイフ,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
80,1,1,カメラユニット,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
81,1,1,医療用焼灼器,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
82,1,1,内蔵機能代用器,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
83,1,1,モニター,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
84,1,1,開放型保育器,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
85,1,1,薬用冷蔵庫,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
86,1,1,救急カート,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
87,1,1,放射線測定器,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
88,1,1,照明灯,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
89,1,1,ガスモニター,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
90,1,1,自家植皮拡張器,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
91,1,1,録画装置,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
92,1,1,結石破砕装置,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
93,1,1,血液浄化装置,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
94,1,1,エア式骨手術器械,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
95,1,1,神経刺激装置,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
96,1,1,体外式心臓ペースメーカー,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
97,1,1,体液検査用器具,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
98,1,1,採血,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
99,1,1,気腹装置,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
100,1,1,医療用嘴管及び体液誘導管,,,2025-08-08 15:52:00.392086,2025-08-08 15:52:00.392086
